"Date","Sony","Microsoft","Nintendo","Other"
2016-03,70.02,23.29,6.69,0
2016-04,69.1,24.6,6.31,0
2016-05,71.45,22.2,6.35,0
2016-06,70.78,23.28,5.94,0
2016-07,67.27,26.13,6.6,0
2016-08,68.74,25.2,6.07,0
2016-09,72.21,22.27,5.52,0
2016-10,69.27,25.1,5.63,0
2016-11,69.25,25.29,5.46,0
2016-12,68.91,26.21,4.89,0
2017-01,68.83,26.81,4.35,0
2017-02,70.29,25.71,4,0
2017-03,70.3,25.9,3.8,0
2017-04,71.54,24.91,3.55,0
2017-05,70.89,25.44,3.66,0
2017-06,69.5,26.17,4.33,0
2017-07,68.79,27.05,4.16,0
2017-08,67.79,28.44,3.77,0
2017-09,28.8,69.95,1.26,0
2017-10,38.26,60.26,1.49,0
2017-11,70.48,26.46,3.06,0
2017-12,70.78,26.44,2.78,0
2018-01,70.51,25.9,3.59,0
2018-02,72.81,23.95,3.24,0
2018-03,72.57,24.27,3.16,0
2018-04,73.34,23.28,3.38,0
2018-05,70.59,26.14,3.27,0
2018-06,70.34,26.1,3.56,0
2018-07,70.19,26.28,3.53,0
2018-08,73.4,23.43,3.17,0
2018-09,73.14,23.87,3,0
2018-10,69.59,25.75,4.66,0
2018-11,65.37,27.22,7.41,0
2018-12,70.21,27.32,2.48,0
2019-01,67.61,30.08,2.31,0
2019-02,62.45,35.28,2.27,0
2019-03,63.44,34.59,1.98,0
2019-04,61.1,37.29,1.62,0
2019-05,55.85,42.9,1.24,0
2019-06,48.22,50.78,0.99,0
2019-07,45.56,53.49,0.95,0
2019-08,62.42,36.13,1.45,0
2019-09,63.81,34.92,1.27,0
2019-10,66.55,32.28,1.17,0
2019-11,68.45,30.52,1.03,0
2019-12,68.29,30.71,1.01,0
2020-01,68.08,31.04,0.87,0
2020-02,57.7,41.62,0.68,0
2020-03,41.44,58.12,0.44,0
2020-04,40.87,58.68,0.45,0
2020-05,65.99,33.46,0.55,0
2020-06,64.68,35.32,0.01,0
2020-07,63.39,36.6,0.01,0
2020-08,64.22,35.77,0.01,0
2020-09,66.33,33.66,0.01,0
2020-10,65.09,34.9,0,0
2020-11,62.62,37.38,0.01,0
2020-12,65.05,34.94,0.01,0
2021-01,62.89,37.09,0.02,0
2021-02,64.33,35.66,0.02,0
2021-03,65.02,34.98,0,0
